sloka	pada	english	verb_part
4.20.15	वर्तयिष्यामि	I will remain.	[('remain.', 'VB')]
2.24.2	वर्तयेत्	will maintain.	[('maintain.', 'VB')]
4.1.47	वर्तयेत्	will she live ?	[('live', 'VB')]
2.116.13	वर्तसे	started residing	[('started', 'VBN'), ('residing', 'VBG')]
2.100.74	वर्तसे कच्चित्	I trust	[('trust', 'VBP')]
2.100.37	वर्तसे कच्चित्	I hope you remain alert.	[('hope', 'VBP'), ('remain', 'VBP')]
2.39.27	वर्तितव्यम्	should conductmyself	[('conductmyself', 'VB')]
5.58.16	वर्तितव्यम्	has to make efforts	[('has', 'VBZ'), ('make', 'VB')]
2.27.9	वर्तितव्यम्	to abide	[('abide', 'VB')]
2.58.20	वर्तितव्या	to be followed	[('be', 'VB'), ('followed', 'VBN')]
2.30.38	वर्तितुम्	to abide by	[('abide', 'VB')]
2.26.26	वर्तितुम्	to remain	[('remain', 'VB')]
3.52.44	वर्तिनी	became	[('became', 'VBD')]
2.112.19	वर्तिव्यम्	you should conduct.	[('conduct.', 'VB')]
2.82.19	वर्तिष्ये	I shall attempt.	[('attempt.', 'VB')]
4.20.16	वर्त्स्यते	is going to experience?	[('is', 'VBZ'), ('going', 'VBG'), ('experience?', 'VB')]
5.58.41	वर्धते	increased	[('increased', 'VBN')]
1.44.22	वर्धते	will increase.	[('increase.', 'VB')]
2.62.19	वर्धते	is increasing.	[('is', 'VBZ')]
3.74.8	वर्धते कच्चित्	progressing indeed	[('progressing', 'VBG')]
5.47.29	वर्धते हि	is increasing	[('is', 'VBZ'), ('increasing', 'VBG')]
5.47.29	वर्धमानः	growing	[('growing', 'VBG')]
2.17.17	वर्धमानगृहैश्चापि	with palaces not having doors to the south	[('having', 'VBG')]
5.1.189	वर्धमानम्	growing	[('growing', 'VBG')]
5.40.20	वर्धमानम्	enlarging	[('enlarging', 'VBG')]
4.54.3	वर्धमानम्	constantly growing	[('growing', 'VBG')]
5.53.44	वर्धमानसमुत्साहः	growing zeal	[('growing', 'VBG')]
1.66.15	वर्धमानां	growing	[('growing', 'VBG')]
4.1.34	वर्धयति	will intensify	[('intensify', 'VB')]
1.8.20	वर्धयन्तः	while greeting him	[('greeting', 'VBG')]
2.20.10	वर्धयन्ति स्म	caused prosperity.	[('caused', 'VBN')]
2.20.13	वर्धयित्वा	greeting him with   words wishing prosperity	[('greeting', 'VBG'), ('wishing', 'VBG')]
2.34.5	वर्धयित्वा	having greeted	[('having', 'VBG'), ('greeted', 'VBN')]
5.37.34	वर्धितुम्	to grow in size	[('grow', 'VB')]
5.1.94	वर्धितुम्	to grow	[('grow', 'VB')]
5.39.11	वर्धिष्यते	will increase.	[('increase.', 'VB')]
3.25.21	वर्माणि च	and armour	[('armour', 'VB')]
3.25.10	वर्षमाणाः	raining	[('raining', 'VBG')]
4.39.2	वर्षम् यत् वर्षते	when he rains	[('rains', 'VBZ')]
3.50.19	वर्षसहस्राणि	thosand years are completed.	[('are', 'VBP')]
1.20.10	वर्षसहस्राणि	thousand years passed	[('passed', 'VBD')]
2.77.25	वर्षातपपरिक्लिनौ	faded due to the heat of Sun and rain	[('faded', 'VBN')]
3.25.9	वलाहकसङ्काशाः	resembling clouds	[('resembling', 'VBG')]
3.51.39	वलीयुक्ताः	emitting	[('emitting', 'VBG')]
2.115.23	वल्कलजटाधारी	wearing bark garments and matted locks	[('wearing', 'VBG'), ('matted', 'VBD')]
2.63.31	वल्कलाजिनवाससः	wearing bark and skin of an antelope	[('wearing', 'VBG')]
2.28.13	वल्कलाम्बरधारिणा	wearing robes of bark	[('wearing', 'VBG')]
2.26.10	वल्गु	charming	[('charming', 'VBG')]
2.95.11	वल्गुवचसः	of sweetvoiced	[('sweetvoiced', 'VBN')]
3.73.12	वल्गुस्वनाः	cackling	[('cackling', 'VBG')]
1.61.19	वल्लभाः	beloved	[('beloved', 'VBN')]
2.16.38	ववन्दिरे	paid homage.	[('paid', 'VBN')]
2.117.5	ववन्दे	prostrated	[('prostrated', 'VBN')]
1.70.32	ववन्दे	offered salutations.	[('offered', 'VBN')]
2.16.11	ववन्दे	made reverential salutation.	[('made', 'VBN')]
2.99.40	ववन्दे	prostrated	[('prostrated', 'VBN')]
2.3.32	ववन्दे	touched with reverence.	[('touched', 'VBN')]
5.1.10	ववृधे	began to grow in size.	[('began', 'VBD'), ('grow', 'VB')]
5.1.195	ववृधे	grew in size.	[('grew', 'VBD')]
5.1.9	ववृधे हि	grew in size.	[('grew', 'VBD')]
2.49.4	वशमागतम्	overtaken by	[('overtaken', 'VBN')]
5.65.24	वशम्	captivated by	[('captivated', 'VBN')]
2.3.3	वशिष्ठम्	to Vasistha	[('Vasistha', 'VB')]
2.3.5	वशिष्ठम्	to Vasistha	[('Vasistha', 'VB')]
3.15.30	वशी	selfcontrolled man	[('selfcontrolled', 'VBN')]
2.67.23	वशी	selfcontrolled	[('selfcontrolled', 'VBN')]
1.1.8	वशी	subjecting the senses (subjecting the entire world under his control).	[('subjecting', 'VBG'), ('(subjecting', 'VBG')]
2.20.8	वशी	having selfcontrol	[('having', 'VBG')]
2.10.10	वशी	one who has subdued the senses	[('has', 'VBZ'), ('subdued', 'VBN')]
1.27.3	वशीकृत्य	taking them captives	[('taking', 'VBG')]
1.1.12	वश्यः	obedient to elders (or accessible to those who are dependent on him)	[('are', 'VBP')]
4.35.11	वश्यताम्	to become	[('become', 'VB')]
5.39.20	वस	you may stay	[('stay', 'VB')]
2.54.32	वस	you may live.	[('live.', 'VB')]
2.90.23	वस	you may stay	[('stay', 'VB')]
4.60.9	वसतः	for me while dwelling	[('dwelling', 'VBG')]
2.92.12	वसतः	are living	[('are', 'VBP'), ('living', 'VBG')]
3.11.27	वसतः	while he was living	[('was', 'VBD'), ('living', 'VBG')]
2.37.5	वसतः	residing	[('residing', 'VBG')]
5.58.135	वसतः	dwelling	[('dwelling', 'VBG')]
1.1.43	वसतः	was dwelling	[('was', 'VBD'), ('dwelling', 'VBG')]
3.29.6	वसतः	while residing	[('residing', 'VBG')]
2.88.23	वसतः अपि	though residing	[('residing', 'VBG')]
4.50.3	वसताम्	while they stayed	[('stayed', 'VBD')]
2.90.22	वसति	is living.	[('is', 'VBZ')]
3.56.14	वसति	is dwelling.	[('is', 'VBZ')]
2.68.2	वसति	is living	[('is', 'VBZ'), ('living', 'VBG')]
1.77.18	वसति	is here.	[('is', 'VBZ')]
2.99.16	वसति	is living.	[('is', 'VBZ')]
2.98.12	वसति	staying	[('staying', 'VBG')]
2.100.43	वसति कच्चित्	I hope they are living.	[('hope', 'VBP'), ('are', 'VBP')]
3.48.13	वसती	while residing	[('residing', 'VBG')]
3.11.31	वसतीति	is living	[('is', 'VBZ'), ('living', 'VBG')]
2.54.22	वसतु	can dwell.	[('dwell.', 'VB')]
2.37.35	वसतु	shall live.	[('live.', 'VB')]
3.54.26	वसद्भिः	while dwelling	[('dwelling', 'VBG')]
3.49.10	वसनाभरणोपेताम्	robed in the best of clothes and ornaments	[('robed', 'VBN')]
2.52.54	वसन्	while dwelling	[('dwelling', 'VBG')]
2.21.23	वसन्	while dwelling	[('dwelling', 'VBG')]
4.58.7	वसन्	while I lived	[('lived', 'VBD')]
2.112.23	वसन्	residing	[('residing', 'VBG')]
2.52.18	वसन्	residing	[('residing', 'VBG')]
4.42.53	वसन्	while staying	[('staying', 'VBG')]
3.10.5	वसन्तः	residing	[('residing', 'VBG')]
4.1.32	वसन्तगुणवर्धितः	enhanced by effects of spring	[('enhanced', 'VBN')]
5.8.7	वसन्तपुष्पोत्करचारुदर्शनम्	looking beautiful like a collection of blossoms of spring	[('looking', 'VBG')]
2.88.28	वसन्तम्	living (in the forest)	[('living', 'VBG')]
2.50.2	वसन्ति	inhabiting	[('inhabiting', 'VBG')]
2.31.34	वसन्ति	are living	[('are', 'VBP'), ('living', 'VBG')]
2.119.19	वसन्ति	are living.	[('are', 'VBP')]
2.9.46	वसन्ति	are residing.	[('are', 'VBP')]
4.37.2	वसन्ति	dwelling	[('dwelling', 'VBG')]
5.40.6	वसन्तीम्	dwelling	[('dwelling', 'VBG')]
3.36.6	वसमानाः	living permanently	[('living', 'VBG')]
2.90.1	वसानः	wearing	[('wearing', 'VBG')]
2.89.23	वसानः	wearing	[('wearing', 'VBG')]
2.37.37	वसानायाम्	while wearing	[('wearing', 'VBG')]
4.53.37	वसाम	let us reside.	[('let', 'VB'), ('reside.', 'VB')]
2.50.28	वसामः	shall stay.	[('stay.', 'VB')]
2.50.27	वसामहे	will spend.	[('spend.', 'VB')]
1.34.10	वसामि	I am living.	[('am', 'VBP')]
4.46.8	वसामि	I lived.	[('lived.', 'VBP')]
1.11.13	वसिष्ठं च अनुमान्य	obtaining the consent of Vasishta	[('obtaining', 'VBG')]
2.115.10	वसिष्ठप्रमुखाः	headed by Vasistha	[('headed', 'VBN')]
2.72.54	वसिष्ठमुख्यैः	headed by Vasistha	[('headed', 'VBN')]
1.52.19	वसिष्ठम्	addressing Vashishta	[('addressing', 'VBG')]
1.53.7	वसिष्ठम्	addressing Vasishta	[('addressing', 'VBG')]
2.68.4	वसिष्ठम्	addressing Vasistha	[('addressing', 'VBG')]
2.93.6	वसिष्ठम्	addressing Vasistha	[('addressing', 'VBG')]
2.113.9	वसिष्ठम्	to Vasistha	[('Vasistha', 'VB')]
2.111.8	वसिष्ठम्	to Vasistha	[('Vasistha', 'VB')]
1.52.10	वसिष्ठम् प्रति	addressing Vasishta	[('addressing', 'VBG')]
1.19.2	वसिष्ठव्यपदेशिनः	having been initiated by Vasishta	[('having', 'VBG'), ('been', 'VBN'), ('initiated', 'VBN')]
1.71.24	वसिष्ठसहितः	accompanied by Vasista	[('accompanied', 'VBN')]
1.14.49	वसिष्ठाय	to vasistha	[('vasistha', 'VB')]
2.30.39	वसिष्यामि	I can live in the forest	[('live', 'VB')]
1.43.26	वसुधातलवसिनः	those living on the earth	[('living', 'VBG')]
2.1.50	वसुधाधिपः	lord of the earth (king Dasaratha)	[('(king', 'VBG')]
2.19.9	वसुधासक्तनयनः	with eyes fixed upon the ground	[('fixed', 'VBN')]
3.46.27	वसूनां वा	or Vasus	[('Vasus', 'VB')]
2.108.5	वसेत्	may rest	[('rest', 'VB')]
2.43.4	वसेत्	would have lived.	[('have', 'VB')]
2.55.8	वसेद्वा	one may tarry or	[('tarry', 'VB')]
1.26.33	वसेम	we will live	[('live', 'VB')]
1.23.16	वसेम	shall stay	[('stay', 'VB')]
4.1.95	वसेमहि यदि	we stay here only	[('stay', 'VBP')]
3.13.11	वसेयम्	I may live	[('live', 'VB')]
2.29.8	वस्तव्यं किल	to dwell certainly.	[('dwell', 'VB')]
2.111.26	वस्तव्यं यदि	if it is essential to live in the forest	[('is', 'VBZ'), ('live', 'VB')]
2.29.2	वस्तव्यतां प्रति	about dwelling in the forest	[('dwelling', 'VBG')]
2.27.4	वस्तव्यमिति	should dwell	[('dwell', 'VB')]
2.26.38	वस्तव्यम्	you shall live here	[('live', 'VB')]
2.104.23	वस्तव्यम्	I must live.	[('live.', 'VB')]
2.26.23	वस्तव्यम्	am to dwell	[('am', 'VBP'), ('dwell', 'VB')]
3.47.15	वस्तव्यम् खलु	you should live indeed	[('live', 'VB')]
2.40.12	वस्तव्यानिव	you will dwell	[('dwell', 'VB')]
2.37.30	वस्तुं वा	to live	[('live', 'VB')]
2.35.11	वस्तुम	to dwell	[('dwell', 'VB')]
3.17.18	वस्तुम्	to reside	[('reside', 'VB')]
3.47.22	वस्तुम्	to stay	[('stay', 'VB')]
4.4.9	वस्तुम्	to reside	[('reside', 'VB')]
3.46.24	वस्तुम्	to reside	[('reside', 'VB')]
2.37.18	वस्तुम्	to live	[('live', 'VB')]
2.24.19	वस्तुम्	to live	[('live', 'VB')]
2.19.2	वस्तुम्	to live	[('live', 'VB')]
2.19.11	वस्तुम्	to live	[('live', 'VB')]
5.38.69	वस्त्रगतम्	tied up in clothes	[('tied', 'VBN')]
5.1.74	वस्त्रापकर्षणेन	clothes put off	[('put', 'VBD')]
5.1.174	वहता	carrying	[('carrying', 'VBG')]
2.42.14	वहताम्	carrying	[('carrying', 'VBG')]
2.12.8	वहति	was carrying out	[('was', 'VBD'), ('carrying', 'VBG')]
2.93.15	वहति	transporting it.	[('transporting', 'VBG')]
3.3.24	वहतु	let him carry	[('let', 'VB'), ('carry', 'VB')]
3.3.23	वहतु तावत्	let him carry us.	[('let', 'VB'), ('carry', 'VB')]
2.99.33	वहते	is able to bear?	[('is', 'VBZ'), ('bear?', 'VB')]
2.2.9	वहन्	carrying	[('carrying', 'VBG')]
2.94.14	वहन्	carrying	[('carrying', 'VBG')]
2.45.14	वहन्तः	conveying	[('conveying', 'VBG')]
5.61.2	वहन्तः इव	like seeing without blinking	[('seeing', 'VBG'), ('blinking', 'VBG')]
2.36.14	वहन्तम्	while drawing	[('drawing', 'VBG')]
2.89.17	वहन्ति स्म	were transporting.	[('were', 'VBD')]
2.74.15	वहमानौ	carrying the burden (drawing the plough)	[('carrying', 'VBG'), ('(drawing', 'VBG')]
2.73.16	वहेयम्	I shall bear?	[('bear?', 'VB')]
2.52.56	वहेयम्	shall take.	[('take.', 'VB')]
2.89.16	वह्नत्यः	carrying	[('carrying', 'VBG')]
4.58.17	वा तटित् यथा	like lightning	[('lightning', 'VBG')]
2.113.11	वाक्यकुशलम्	skilled in words	[('skilled', 'VBN')]
3.31.39	वाक्यकोविदः	one who is eloquent in speech	[('is', 'VBZ')]
3.18.8	वाक्यकोविदः	wellversed in the use of words	[('wellversed', 'VBN')]
2.34.27	वाक्यकोविदः	skilled in speech	[('skilled', 'VBN')]
1.70.18	वाक्यज्ञः	wellversed in speech	[('wellversed', 'VBN')]
4.3.27	वाक्यज्ञम्	knows how to talk	[('knows', 'VBZ'), ('talk', 'VB')]
2.21.29	वाक्यम्	words (order)	[('(order)', 'VBP')]
3.73.43	वाक्यम्	words said	[('said', 'VBD')]
2.21.2	वाक्यवशं गतः	yielding to the words	[('yielding', 'VBG')]
5.66.8	वाक्यवारिणा	in lifegiving water of words	[('lifegiving', 'VBG')]
1.70.15	वाक्यविदाम्	among those skilled speech	[('skilled', 'VBN')]
1.53.16	वाक्यविशारदः	(the king) skilled in conversation	[('skilled', 'VBN')]
1.66.4	वाक्यविशारदः	wellversed in speech	[('wellversed', 'VBN')]
5.52.4	वाक्यविशारदः	skilled in speech	[('skilled', 'VBN')]
1.1.100	वाक्यविशारदः	proficient in (shastras which are in the form of) speech	[('are', 'VBP')]
2.7.18	वाक्यविशारदा	skilled in speech	[('skilled', 'VBN')]
2.44.30	वाक्योपचारे	serving with words	[('serving', 'VBG')]
1.1.100	वागृषभत्वम्	proficient in the eighteen branches of learning	[('learning', 'VBG')]
4.59.23	वाग्बुद्धिगुणवर्तिना	endowed with the faculty of thinking and speaking	[('endowed', 'VBN')]
1.2.24	वाग्यतः	disciplined in speech	[('disciplined', 'VBN')]
2.6.3	वाग्यतः भूत्वा	adopting silence	[('adopting', 'VBG')]
2.87.18	वाग्यताः	observing silence	[('observing', 'VBG')]
5.30.17	वाचं च	and talk in	[('talk', 'VB')]
2.16.44	वाचः च	words (heard).	[('(heard).', 'VBP')]
3.67.29	वाचम्	speaking	[('speaking', 'VBG')]
2.67.3	वाचम्	opinions  उदीरयन् expressed.	[('उदीरयन्', 'VBP')]
2.25.30	वाचयामास	got recited.	[('got', 'VBD')]
2.6.7	वाचयामास	got the purificatory mantras recited.	[('got', 'VBD'), ('recited.', 'VBP')]
1.4.12	वाचोविधेयम्	committed to memory	[('committed', 'VBN')]
5.38.54	वाच्यः	you may like to convey	[('like', 'VB'), ('convey', 'VB')]
5.37.7	वाच्यः	he should be informed	[('be', 'VB'), ('informed', 'VBN')]
3.62.17	वाच्यः	should be told	[('be', 'VB'), ('told', 'VBN')]
2.58.21	वाच्यः	deserves to be told	[('be', 'VB'), ('told', 'VBN')]
5.68.2	वाच्यः	you may appeal.	[('appeal.', 'VB')]
2.58.21	वाच्यः च	is to be told	[('is', 'VBZ'), ('be', 'VB'), ('told', 'VBN')]
2.58.16	वाच्यम्	fit to be conveyed.	[('be', 'VB')]
3.30.14	वाच्यावाच्यम्	what  to speak and what not to speak	[('speak', 'VB'), ('speak', 'VB')]
2.45.22	वाजपेयसमुत्थानि	acquired while performing Vajapeya sacrifice	[('acquired', 'VBN'), ('performing', 'VBG')]
2.45.23	वाजपेयिकैः	acquired during Vajapeya sacrifice	[('acquired', 'VBN')]
2.15.41	वाजियुक्तेन	harnessed with horses	[('harnessed', 'VBN')]
3.27.7	वाजियुक्तेन	horses harnessed	[('harnessed', 'VBD')]
5.44.20	वाजियुक्तैः	yoked to horses	[('yoked', 'VBN')]
1.5.13	वाजिवारणसम्पूर्णां	abounded with horses and elephants	[('abounded', 'VBN')]
1.41.8	वाजिहर्तारमेव च	about the person who had stolen the sacrificial horse	[('had', 'VBD'), ('stolen', 'VBN')]
5.4.26	वाजिहेषितसङ्घुष्टम्	filled with neighing horses	[('filled', 'VBN')]
5.3.50	वाञ्छसि	you wish to do	[('wish', 'VBP'), ('do', 'VB')]
1.1.92	वातजं भयम्	danger due to wind	[('wind', 'VB')]
5.57.18	वातनुन्नस्य	by the impact of sweeping motion of his thighs	[('sweeping', 'VBG')]
5.29.6	वातप्रक्लान्तम्	blighted by wind and heat	[('blighted', 'VBN')]
4.1.84	वातविक्षिप्तविटपान्	the branches of trees are swayed by the wind	[('are', 'VBP'), ('swayed', 'VBN')]
5.56.34	वातसङ्घातजातोर्मि	waves produced by wind for its billows	[('produced', 'VBN')]
1.47.4	वातस्कन्धाः	presiding deities for Vata Skandha (divisions of wind)	[('presiding', 'VBG')]
2.57.15	वातायनगतानाम्	looking through the windows	[('looking', 'VBG')]
4.1.17	वाति	is  blowing.	[('is', 'VBZ')]
1.65.14	वाति	is blowing	[('is', 'VBZ'), ('blowing', 'VBG')]
3.19.25	वातेरिताः	as if blown by wind	[('blown', 'VBN')]
5.64.23	वातेरिताः	driven by the Wind	[('driven', 'VBN')]
3.51.3	वातोद्धतयोः	stormy wind that arose	[('arose', 'VBD')]
3.47.49	वातोद्धता	shaken by violent wind	[('shaken', 'VBN')]
2.69.4	वादयन्ति	played stringed instruments	[('played', 'VBN'), ('stringed', 'VBD')]
1.32.12	वादयन्त्यः	playing on instruments	[('playing', 'VBG')]
2.10.12	वादित्ररवसङ्घुष्टम्	echoing with the sounds of musical instruments	[('echoing', 'VBG')]
2.36.3	वादिन्यः	sweettongued	[('sweettongued', 'VBN')]
5.67.15	वाधर्हमपि	that which deserved to be slayed	[('deserved', 'VBD'), ('be', 'VB'), ('slayed', 'VBN')]
3.6.15	वानप्रस्थगणः	group of sages leading the vanaprastha stage of life	[('leading', 'VBG')]
3.12.27	वानप्रस्थेन	according to hermit's	[('according', 'VBG')]
5.34.26	वानरम्	to vanara	[('vanara', 'VB')]
5.34.13	वानरम्	to vanara	[('vanara', 'VB')]
5.50.10	वानरम्	is of a vanara	[('is', 'VBZ')]
1.17.7	वानररूपिणः	those assuming the form of monkeys	[('assuming', 'VBG')]
2.54.28	वानरर्क्षनिषेवितः	inhabited by monkeys and bears	[('inhabited', 'VBN')]
5.62.5	वानरर्षभम्	to bull among vanaras	[('bull', 'VB')]
4.53.12	वानरर्षभाः	bulls among monkeys वः you	[('वः', 'VBP')]
4.58.28	वानरर्षभाः	O bulls among monkeys बलवीर्योपपन्नानाम् endowed with strength and vigour	[('बलवीर्योपपन्नानाम्', 'VBP'), ('endowed', 'VBN')]
2.55.34	वानरवारणायुते	inhabited by monkeys and elephants	[('inhabited', 'VBN')]
4.53.33	वानरश्रेष्ठाः	best of the monkeys करुणम् kindly	[('करुणम्', 'VBP')]
4.55.11	वानराः	monkeys माम् me	[('माम्', 'VBP')]
4.67.20	वानराः	monkeys अम्बरे in the sky	[('अम्बरे', 'VBP')]
4.56.7	वानराणाम्	to monkeys	[('monkeys', 'VB')]
1.1.86	वानरान्	monkeys fallen in the battle	[('fallen', 'VBN')]
5.1.43	वानरान्	to vanaras	[('vanaras', 'VB')]
5.13.39	वानराश्च	vanaras also.	[('also.', 'VBP')]
5.12.5	वानरैः सह	accompanied by vanaras	[('accompanied', 'VBN')]
4.40.17	वानरैः सार्धम्	followed by the vanaras	[('followed', 'VBN')]
2.68.19	वापीः	deep wells with steps to reach	[('reach', 'VB')]
2.3.3	वामदेवं च	to Vamadeva	[('Vamadeva', 'VB')]
1.29.9	वामनत्वम् गतः	assuming  dwarfness	[('assuming', 'VBG')]
5.29.2	वामनयनम्	left eye	[('left', 'VBN')]
1.6.23	वामनादपि	from Vamana also (name of the elephant that presides over south)	[('presides', 'VBZ')]
2.92.22	वामभुजम्	left arm	[('left', 'VBN')]
3.59.27	वामलोचनम्	left eye	[('left', 'VBN')]
5.14.47	वामलोचना	lovelyeyed one	[('lovelyeyed', 'VBN')]
3.51.37	वामेन अङ्केन	left arm	[('left', 'VBN')]
5.59.10	वायव्यम्	or Windgod's	"[(""Windgod's"", 'VB')]"
3.31.25	वायुं वा	or wind	[('wind', 'VB')]
5.1.84	वायुः च	and even wind	[('wind', 'VB')]
5.8.2	वायुपथप्रतिष्ठितम्	which was placed in the aerial path	[('was', 'VBD'), ('placed', 'VBN')]
5.57.18	वायुपुत्रदिदृक्षवः	awaiting the arrival of the son of the Windgod	[('awaiting', 'VBG')]
5.61.2	वायुपुत्रपुरस्सराः	led by the son of the Windgod	[('led', 'VBN')]
5.1.77	वायुपुत्रानुगामिनी	following the Windgod's son	[('following', 'VBG')]
5.5.26	वायुप्रभिन्नाम्	swept off by the wind	[('swept', 'VBN')]
2.93.12	वायुप्रविद्धा	expelled	[('expelled', 'VBN')]
5.43.23	वायुबलोपमाः	have the power of wind	[('have', 'VB')]
3.11.12	वायुभक्षः	living on air	[('living', 'VBG')]
1.63.23	वायुभक्षः	subsisting on air	[('subsisting', 'VBG')]
1.48.29	वायुभक्षा	subsisting on air	[('subsisting', 'VBG')]
3.6.2	वायुभक्षा	those who live on air	[('live', 'VBP')]
3.6.2	वायुभक्षाः	those who live on air	[('live', 'VBP')]
1.51.22	वायुभक्षैश्च	by those subsisting on air	[('subsisting', 'VBG')]
5.1.58	वायुमार्गानुसारिणः	of him following the direction of the wind	[('following', 'VBG')]
5.68.20	वायुमार्गानुसारिभिः	flying with the wind	[('flying', 'VBG')]
5.39.37	वायुमार्गानुसारिभिः	following aerial path	[('following', 'VBG')]
5.2.44	वायुरपि	even wind	[('wind', 'VB')]
1.47.5	वायुरिति	known as Vayu	[('known', 'VBN')]
4.1.12	वायुवेगप्रचलिताः	shaken by the force of wind	[('shaken', 'VBN')]
4.1.73	वायुवेगविघट्टितम्	splattered by the speed of the wind	[('splattered', 'VBN')]
5.9.6	वायुवेगसमाधूतम्	shaken by the force of the wind	[('shaken', 'VBN')]
5.46.2	वायुवेगसमान्	equal to wind in speed	[('wind', 'VB')]
3.55.4	वायुवेगैः	driven by the wind	[('driven', 'VBN')]
1.36.17	वायुसमन्वितः	followed by wind god	[('followed', 'VBN')]
5.47.31	वायुसेविते	attended by the wind	[('attended', 'VBN')]
5.47.23	वायुसेविते	served by wind	[('served', 'VBN')]
5.67.22	वाय्वग्निसमतेजसौ	equal to wind and fire	[('wind', 'VB'), ('fire', 'VB')]
5.38.47	वाय्वग्निसमतेजसौ	resembling wind and fire in power	[('resembling', 'VBG')]
5.39.49	वारणेन्द्राभान्	who resemble wellbred elephants	[('resemble', 'VBP')]
5.63.20	वारयन्तः च	when they were obstructed	[('were', 'VBD'), ('obstructed', 'VBN')]
5.38.15	वारयामि स्म	I presented him.	[('presented', 'VBD')]
3.49.40	वारयितुम्	to prevent	[('prevent', 'VB')]
2.25.2	वारयितुम्	to dissuade	[('dissuade', 'VB')]
2.23.29	वारयितुम्	to prevent	[('prevent', 'VB')]
5.62.19	वारयिष्यामः	will prevent them.	[('prevent', 'VB')]
2.54.6	वारिघट्टितः	dashed by waters	[('dashed', 'VBN')]
5.1.174	वारिधाराभिः	with clouds that release torrents	[('release', 'VBP')]
1.24.10	वारिसङ्क्षोभजः	produced when the waters are clashed at their confluence	[('produced', 'VBN'), ('are', 'VBP'), ('clashed', 'VBN')]
5.65.23	वारिसम्भवः	born in the ocean	[('born', 'VBN')]
5.66.9	वारिसम्भवम्	found in water	[('found', 'VBN')]
1.27.8	वारुणम्	relating to Varuna	[('relating', 'VBG'), ('Varuna', 'VB')]
1.45.37	वारुणीग्रहणात्	for having accepted Vaaruni	[('having', 'VBG'), ('accepted', 'VBN')]
2.114.23	वारुणीमदगन्धश्च	the intoxicating odour of spirituous liquor	[('intoxicating', 'VBG')]
3.38.23	वार्यमाणः	while being prevented	[('being', 'VBG'), ('prevented', 'VBN')]
5.14.29	वार्यमाणाम्	prevented	[('prevented', 'VBN')]
2.34.23	वार्यमाणौ	dissuaded	[('dissuaded', 'VBN')]
1.70.2	वार्याफलकपर्यन्ताम्	darts planted in water as boundary	[('planted', 'VBN')]
2.44.27	वार्षिकी	pertaining to rainyseason	[('pertaining', 'VBG'), ('rainyseason', 'VB')]
3.6.2	वालखिल्याः	Valakhilyas (the sixty thousand sages born out of the hair of  Brahma	[('born', 'VBN')]
1.51.22	वालखिल्यैः	with Valakhilyas (sages born from Brahma and have the size of thumb)	[('born', 'VBP'), ('have', 'VBP')]
5.18.11	वालव्यजन हस्ताश्च	some women held fans of the hair of yaktail.	[('held', 'VBD')]
2.15.9	वालव्यजनम्	a fan made of yak's tail	[('made', 'VBN')]
2.91.39	वालव्यजनम्	fan made of yak's tail	[('made', 'VBD')]
5.49.10	वालव्यजनहस्ताभिः	holding whisks in their hands	[('holding', 'VBG')]
5.10.4	वालव्यजनहस्ताभिः	women holding fans made of the hair of chamari deer	[('holding', 'VBG'), ('made', 'VBN')]
2.14.34	वालव्यजने	fans made of Yak's tails	[('made', 'VBN')]
4.38.12	वालव्यजनैः	made of yaktail	[('made', 'VBN')]
5.13.30	वालिजेन	caused by Vali	[('caused', 'VBN')]
4.34.17	वालिनम्	to Vali	[('Vali', 'VB')]
5.16.11	वालिपालितम्	ruled by Vali	[('ruled', 'VBN')]
4.48.21	वालिपुत्राभिहतः	struck by the son of Vali	[('struck', 'VBN')]
3.69.49	वालुकसेतवः यथा	like barriers built with sand	[('built', 'VBN')]
2.56.16	वाल्मीकिम्	to sage Valmiki	[('sage', 'VB')]
3.57.4	वाश्यते	howling	[('howling', 'VBG')]
1.24.14	वाश्यद्भिः	shrieking	[('shrieking', 'VBG')]
3.57.22	वाश्यन्ते	howling	[('howling', 'VBG')]
3.23.14	वाश्यन्त्यः	singing	[('singing', 'VBG')]
3.46.28	वासः	dwelling place	[('dwelling', 'VBG')]
2.52.66	वासः	dwelling	[('dwelling', 'VBG')]
3.46.24	वासः	dwelling place.	[('dwelling', 'VBG')]
3.67.24	वासः	dwelling	[('dwelling', 'VBG')]
2.52.16	वासः	residing	[('residing', 'VBG')]
2.12.23	वासम्	to dwell	[('dwell', 'VB')]
2.116.26	वासम्	to reside	[('reside', 'VB')]
2.54.24	वासम्	to reside	[('reside', 'VB')]
2.107.7	वासम्	to dwell	[('dwell', 'VB')]
3.5.36	वासम्	dwelling	[('dwelling', 'VBG')]
2.37.5	वासम्	dwelling	[('dwelling', 'VBG')]
2.104.20	वासयितुम्	to accommodate me	[('accommodate', 'VB')]
3.28.2	वासवं यथा	similar to Indra	[('Indra', 'VB')]
2.25.8	वासवप्रमुखाः	others headed by Indra	[('headed', 'VBN')]
4.62.14	वासवस्यच	and those who live here.	[('live', 'VBP')]
3.2.23	वासवोपमः	comparable to Indra	[('Indra', 'VB')]
2.116.25	वासाय	to reside	[('reside', 'VB')]
4.53.4	वासिभिः	staying here	[('staying', 'VBG')]
