YAJURVED	मन्त्रसंख्या				
1358	23.52	23	52	1358	पञ्चस्वन्तः पुरुषऽआविवेश तान्यन्तः पुरुषेऽअर्पितानि। एतत्त्वात्र प्रतिमन्वानोऽअस्मि न मायया भवस्युत्तरो मत्॥५२ ॥
1359	23.53	23	53	1359	का स्विदासीत्पूर्वचित्तिः किस्विदासीद् बृहद्वयः। का स्विदासीत्पिलिप्पिला का स्विदासीत्पिशङ्गिला ॥५३ ॥
1360	23.54	23	54	1360	द्यौरासीत्पूर्वचित्तिरश्वऽआसीद् बृहद्वयः। अविरासीत्पिलिप्पिला रात्रिरासीत्पिशङ्गिला ॥५४ ॥
1361	23.55	23	55	1361	काऽईमरे पिशङ्गिला काऽर्इं कुरुपिशङ्गिला। कऽर्इमास्कन्दमर्षति कऽर्इं पन्थां विसर्पति ॥५५ ॥
1362	23.56	23	56	1362	अजारे पिशङ्गिला श्वावित्कुरुपिशङ्गिला। शशऽआस्कन्दमर्षत्यहिः पन्थां वि सर्पति ॥५६ ॥
1363	23.57	23	57	1363	कत्यस्य विष्ठाः कत्यक्षराणि कति होमासः कतिधा समिद्धः। यज्ञस्य त्वा विदथा पृच्छमत्र कति होतारऽऋतुशो यजन्ति ॥५७ ॥
1364	23.58	23	58	1364	षडस्य विष्ठाः शतमक्षराण्यशीतिर्होमाः समिधो ह तिस्रः। यज्ञस्य ते विदथा प्र ब्रवीमि सप्त होतारऽऋतुशो यजन्ति ॥५८ ॥
1365	23.59	23	59	1365	कोऽअस्य वेद भुवनस्य नाभिं को द्यावापृथिवीऽअन्तरिक्षम्। कः सूर्यस्य वेद बृहतो जनित्रं को वेद चन्द्रमसं यतोजाः ॥५९ ॥
1366	23.60	23	60	1366	वेदाहमस्य भुवनस्य नाभिं वेद द्यावापृथिवीऽअन्तरिक्षम्। वेद सूर्यस्य बृहतो जनित्रमथो वेद चन्द्रमसं यतोजाः ॥६० ॥
1367	23.61	23	61	1367	पृच्छामि त्वा परमन्तं पृथिव्याः पृच्छामि यत्र भुवनस्य नाभिः। पृच्छामि त्वा वृष्णोऽअश्वस्य रेतः पृच्छामि वाचः परमं व्योम ॥६१ ॥
1368	23.62	23	62	1368	इयं वेदिः परोऽअन्तः पृथिव्याऽअयं यज्ञो भुवनस्य नाभिः। अयꣳ सोमो वृष्णोऽअश्वस्य रेतो ब्रह्मायं वाचः परमं व्योम ॥६२ ॥
1369	23.63	23	63	1369	सुभूः स्वयम्भूः प्रथमोऽन्तर्महत्यर्णवे। दधे ह गर्भमृत्वियं यतो जातः प्रजापतिः ॥६३ ॥
1370	23.64	23	64	1370	होता यक्षत्प्रजापतिꣳ सोमस्य महिम्नः। जुषतां पिबतु सोमꣳ होतर्यज ॥६४ ॥
1371	23.65	23	65	1371	प्रजापते न त्वदेतान्यन्यो विश्वा रूपाणि परि ता बभूव। यत्कामास्ते जुहुमस्तन्नोऽअस्तु वयꣳ स्याम पतयो रयीणाम् ॥६५ ॥
1372	24.1	24	1	1372	अश्वस्तूपरो गोमृगस्ते प्राजापत्याः कृष्णग्रीवऽआग्नेयो रराटे पुरस्तात्सारस्वती मेष्यधस्ताद्धन्वोराश्विनावधोरामौ बाह्वोः सौमापौष्णः श्यामो नाभ्या सौर्ययामौ श्वेतश्च कृष्णश्च पार्श्वयोस्त्वाष्ट्रौ लोमशसक्थौ सक्थ्योर्वायव्यः श्वेतः पुच्छऽइन्द्राय स्वपस्याय वेहद्वैष्णवो वामनः ॥१ ॥
1373	24.2	24	2	1373	रोहितो धूम्ररोहितः कर्कन्धुरोहितस्ते सौम्या बभ्रुररुणबभ्रुः शुकबभ्रुस्ते वारुणाः शितिरन्ध्रोऽन्यतःशितिरन्ध्रः समन्तशितिरन्ध्रस्ते सावित्राः शितिबाहुरन्यतःशितिबाहुः समन्तशितिबाहुस्ते बार्हस्पत्याः पृषती क्षुद्रपृषती स्थूलपृषती ता मैत्रावरुण्यः ॥२ ॥
1374	24.3	24	3	1374	शुद्धवालः सर्वशुद्धवालो मणिवालस्तऽआश्विनाः श्येतः श्येताक्षोऽरुणस्ते रुद्राय पशुपतये कर्णा यामाऽअवलिप्ता रौद्रा नभोरूपाः पार्जन्याः ॥३ ॥
1375	24.4	24	4	1375	पृश्निस्तिरश्चीनपृश्निरूर्ध्वपृश्निस्ते मारुताः फल्गूर्लोहितोर्णी पलक्षी ताः सारस्वत्यः प्लीहाकर्णः शुण्ठाकर्णोऽध्यालोहकर्णस्ते त्वाष्ट्राः कृष्णग्रीवः शितिकक्षोऽञ्जिसक्थस्तऽऐन्द्राग्नाः कृष्णाञ्जिरल्पाञ्जिर्महाञ्जिस्तऽउषस्याः ॥४ ॥
1376	24.5	24	5	1376	शिल्पा वैश्वदेव्यो रोहिण्यस्त्र्यवयो वाचेऽविज्ञाताऽअदित्यै सरूपा धात्रे वत्सतर्यो देवानां पत्नीभ्यः ॥५ ॥
1377	24.6	24	6	1377	कृष्णग्रीवा आग्नेयाः शितिभ्रवो वसूना रोहिता रुद्राणा श्वेताऽअवरोकिणऽ आदित्यानां नभोरूपाः पार्जन्याः ॥६ ॥
1378	24.7	24	7	1378	उन्नत ऋषभो वामनस्तऽऐन्द्रावैष्णवाऽउन्नतः शितिबाहुः शितिपृष्ठस्तऽऐन्द्राबार्हस्पत्याः शुकरूपा वाजिनाः कल्माषाऽआग्निमारुताः श्यामाः पौष्णाः ॥७ ॥
1379	24.8	24	8	1379	एताऽऐन्द्राग्ना द्विरूपाऽअग्नीषोमीया वामनाऽअनड्वाहऽ आग्नावैष्णवा वशा मैत्रावरुण्योऽन्यतऽएन्यो मैत्र्यः ॥८ ॥
1380	24.9	24	9	1380	कृष्णग्रीवाऽआग्नेया बभ्रवः सौम्याः श्वेता वायव्याऽअविज्ञाताऽअदित्यै सरूपा धात्रे वत्सतर्यो देवानां पत्नीभ्यः ॥९ ॥
1381	24.10	24	10	1381	कृष्णा भौमा धूम्राऽआन्तरिक्षा बृहन्तो दिव्याः शबला वैद्युताः सिध्मास्तारकाः ॥१० ॥
1382	24.11	24	11	1382	धूम्रान् वसन्तायालभते श्वेतान् ग्रीष्माय कृष्णान् वर्षाभ्योऽरुणाञ्छरदे पृषतो हेमन्ताय पिशङ्गाञ्छिशिराय ॥११ ॥
1383	24.12	24	12	1383	त्र्यवयो गायत्र्यै पञ्चावयस्त्रिष्टुभे दित्यवाहो जगत्यै त्रिवत्साऽअनुष्टुभे तुर्यवाहऽउष्णिहे ॥१२ ॥
1384	24.13	24	13	1384	पष्ठवाहो विराजऽउक्षाणो बृहत्याऽऋषभाः ककुभेऽनड्वाहः पङ्क्त्यै धेनवोऽतिछन्दसे ॥१३ ॥
1385	24.14	24	14	1385	कृष्णग्रीवाऽआग्नेया बभ्रवः सौम्याऽउपध्वस्ताः सावित्रा वत्सतर्यः सारस्वत्यः श्यामाः पौष्णाः पृश्नयो मारुता बहुरूपा वैश्वदेवा वशा द्यावापृथिवीयाः ॥१४ ॥
1386	24.15	24	15	1386	उक्ताः सञ्चराऽएताऽऐन्द्राग्नाः कृष्णा वारुणाः पृश्नयो मारुताः कायास्तूपराः ॥१५ ॥
1387	24.16	24	16	1387	अग्नयेऽनीकवते प्रथमजानालभते मरुद्भ्यः सान्तपनेभ्यः सवात्यान् मरुद्भ्यो गृहमेधिभ्यो बष्किहान् मरुद्भ्यः क्रीडिभ्यः सꣳसृष्टान् मरुद्भ्यः स्वतवद्भ्योऽनुसृष्टान् ॥१६ ॥
1388	24.17	24	17	1388	उक्ताः सञ्चराऽएताऽऐन्द्राग्नाः प्राशृङ्गा माहेन्द्रा बहुरूपा वैश्वकर्मणाः ॥१७ ॥
1389	24.18	24	18	1389	धूम्रा बभ्रुनीकाशाः पितॄणासोमवतां बभ्रवो धूम्रनीकाशाः पितॄणां बर्हिषदां कृष्णा बभ्रुनीकाशाः पितॄणामग्निष्वात्तानां कृष्णाः पृषन्तस्त्रैयम्बकाः ॥१८ ॥
1390	24.19	24	19	1390	उक्ताः सञ्चराऽएताः शुनासीरीयाः श्वेता वायव्याः श्वेताः सौर्याः ॥१९ ॥
1391	24.20	24	20	1391	वसन्ताय कपिञ्जलानालभते ग्रीष्माय कलविङ्कान् वर्षाभ्यस्तित्तिरीञ्छरदे वर्त्तिका हेमन्ताय ककराञ्छिशिराय विककरान् ॥२० ॥
1392	24.21	24	21	1392	समुद्राय शिशुमारानालभते पर्जन्याय मण्डूकानद्भ्यो मत्स्यान् मित्राय कुलीपयान् वरुणाय नाक्रान् ॥२१ ॥
1393	24.22	24	22	1393	सोमाय हꣳसानालभते वायवे बलाकाऽइन्द्राग्निभ्यां क्रुञ्चान् मित्राय मद्गून् वरुणाय चक्रवाकान् ॥२२ ॥
1394	24.23	24	23	1394	अग्नये कुटरूनालभते वनस्पतिभ्यऽउलूकानग्नीषोमाभ्यां चाषानश्विभ्यां मयूरान् मित्रावरुणाभ्यां कपोतान् ॥२३ ॥
1395	24.24	24	24	1395	सोमाय लबानालभते त्वष्ट्रे कौलीकान् गोषादीर्देवानां पत्नीभ्यः कुलीका देवजामिभ्योऽग्नये गृहपतये पारुष्णान् ॥२४ ॥
1396	24.25	24	25	1396	अह्ने पारावतानालभते रात्र्यै सीचापूरहोरात्रयोः सन्धिभ्यो जतूर्मासेभ्यो दात्यौहान्त्संवत्सराय महतः सुपर्णान् ॥२५ ॥
1397	24.26	24	26	1397	भूम्याऽआखूनालभतेऽन्तरिक्षाय पाङ्क्तान् दिवे कशान् दिग्भ्यो नकुलान् बभ्रुकानवान्तरदिशाभ्यः ॥२६ ॥
1398	24.27	24	27	1398	वसुभ्यऽऋश्यानालभते रुद्रेभ्यो रुरूनादित्येभ्यो न्यङ्कून् विश्वेभ्यो देवेभ्यः पृषतान्त्साध्येभ्यः कुलुङ्गान् ॥२७ ॥
1399	24.28	24	28	1399	ईशानाय त्वा परस्वतऽआ लभते मित्राय गौरान् वरुणाय महिषान् बृहस्पतये गवयाँस्त्वष्ट्र उष्ट्रान् ॥२८ ॥
1400	24.29	24	29	1400	प्रजापतये पुरुषान् हस्तिनऽआ लभते वाचे प्लुषीँश्चक्षुषे मशकाञ्छ्रोत्राय भृङ्गाः ॥२९ ॥
1401	24.30	24	30	1401	प्रजापतये च वायवे च गोमृगो वरुणायारण्यो मेषो यमाय कृष्णो मनुष्यराजाय मर्कटः शार्दूलाय रोहिदृषभाय गवयी क्षिप्रश्येनाय वर्त्तिका नीलङ्गोः कृमिः समुद्राय शिशुमारो हिमवते हस्ती ॥३० ॥
1402	24.31	24	31	1402	मयुः प्राजापत्यऽउलो हलिक्ष्णो वृषदꣳशस्ते धात्रे दिशां कङ्को धुङ्क्षाग्नेयी कलविङ्को लोहिताहिः पुष्करसादस्ते त्वाष्ट्रा वाचे क्रुञ्चः ॥३१ ॥
1403	24.32	24	32	1403	सोमाय कुलुङ्गऽआरण्योऽजो नकुलः शका ते पौष्णाः क्रोष्टा मायोरिन्द्रस्य गौरमृगः पिद्वो न्यङ्कुः कक्कटस्तेऽनुमत्यै प्रतिश्रुत्कायै चक्रवाकः ॥३२ ॥
1404	24.33	24	33	1404	सौरी बलाका शार्गः सृजयः शयाण्डकस्ते मैत्राः सरस्वत्यै शारिः पुरुषवाक्श्वाविद् द्भौमी शार्दूलो वृकः पृदाकुस्ते मन्यवे सरस्वते शुकः पुरुषवाक्॥३३ ॥
1405	24.34	24	34	1405	सुपर्णः पार्जन्यऽआतिर्वाहसो दर्विदा ते वायवे बृहस्पतये वाचस्पतये पैङ्गराजोऽलजऽआन्तरिक्षः प्लवो मद्गुर्मत्स्यस्ते नदीपतये द्यावापृथिवीयः कूर्मः ॥३४ ॥
1406	24.35	24	35	1406	पुरुषमृगश्चन्द्रमसो गोधा कालका दार्वाघाटस्ते वनस्पतीनां कृकवाकुः सावित्रो हꣳसो वातस्य नाक्रो मकरः कुलीपयस्तेऽकूपारस्य ह्रियै शल्यकः ॥३५ ॥
1407	24.36	24	36	1407	एण्यह्नो मण्डूको मूषिका तित्तिरिस्ते सर्पाणां लोपाशऽआश्विनः कृष्णो रात्र्याऽऋक्षो जतूः सुषिलीका तऽइतरजनानां जहका वैष्णवी ॥३६ ॥
1408	24.37	24	37	1408	अन्यवापोऽर्द्धमासानामृश्यो मयूरः सुपर्णस्ते गन्धर्वाणामपामुद्रो मासान् कश्यपो रोहित्कुण्डृणाची गोलत्तिका तेऽप्सरसां मृत्यवेऽसितः ॥३७ ॥
1409	24.38	24	38	1409	वर्षाहूर्ऋतूनामाखुः कशो मान्थालस्ते पितॄणां बलायाजगरो वसूनां कपिञ्जलः कपोतऽउलूकः शशस्ते निर्ऋत्यै वरुणायारण्यो मेषः ॥३८ ॥
1410	24.39	24	39	1410	श्वित्रऽआदित्यानामुष्ट्रो घृणीवान् वार्ध्रीनसस्ते मत्याऽअरण्याय सृमरो रुरू रौद्रः क्वयिः कुटरुर्दात्यौहस्ते वाजिनां कामाय पिकः ॥३९ ॥
1411	24.40	24	40	1411	खड्गो वैश्वदेवः श्वा कृष्णः कर्णो गर्दभस्तरक्षुस्ते रक्षसामिन्द्राय सूकरः सिꣳहो मारुतः कृकलासः पिप्पका शकुनिस्ते शरव्यायै विश्वेषां देवानां पृषतः ॥४० ॥
1412	25.1	25	1	1412	शादं दद्भिरवकां दन्तमूलैर्मृदं बर्स्वैस्ते गां दष्ट्राभ्यासरस्वत्याऽअग्रजिह्वं जिह्वायाऽ उत्सादमवक्रन्देन तालु वाजꣳहनुभ्यामपऽआस्येन वृषणमाण्डाभ्यामादित्याँ श्मश्रुभिः पन्थानं भ्रूभ्यां द्यावापृथिवी वर्त्तोभ्यां विद्युतं कनीनकाभ्या शुक्राय स्वाहा कृष्णाय स्वाहा पार्याणि पक्ष्माण्यवार्याऽइक्षवोऽवार्याणि पक्ष्माणि पार्या इक्षवः ॥१ ॥
1413	25.2	25	2	1413	वातं प्राणेनापानेन नासिकेऽउपयाममधरेणौष्ठेन सदुत्तरेण प्रकाशेनान्तरमनूकाशेन बाह्यं निवेष्यं मूर्ध्ना स्तनयित्नुं निर्बाधेनाशनिं मस्तिष्केण विद्युतं कनीनकाभ्यां कर्णाभ्या श्रोत्र श्रोत्राभ्यां कर्णौ तेदनीमधरकण्ठेनापः शुष्ककण्ठेन चित्तं मन्याभिरदितिꣳ शीर्ष्णा निर्ऋतिं निर्जर्जल्पेन शीर्ष्णा संक्रोशैः प्राणान् रेष्माण स्तुपेन ॥२ ॥
1414	25.3	25	3	1414	मशकान् केशैरिन्द्र स्वपसा वहेन बृहस्पतिꣳशकुनिसादेन कूर्म्माञ्छफैराक्रमण स्थूराभ्यामृक्षलाभिः कपिञ्जलाञ्जवं जङ्घाभ्यामध्वानं बाहुभ्यां जाम्बीलेनारण्यमग्निमतिरुग्भ्यां पूषणं दोर्भ्यामश्विनावꣳसाभ्या रुद्रꣳ रोराभ्याम् ॥३ ॥
1415	25.4	25	4	1415	अग्नेः पक्षतिर्वायोर्निपक्षतिरिन्द्रस्य तृतीया सोमस्य चतुर्थ्यदित्यै पञ्चमीन्द्राण्यै षष्ठी मरुता सप्तमी बृहस्पतेरष्टम्यर्यम्णो नवमी धातुर्दशमीन्द्रस्यैकादशी वरुणस्य द्वादशी यमस्य त्रयोदशी ॥४ ॥
1416	25.5	25	5	1416	इन्द्राग्न्योः पक्षतिः सरस्वत्यै निपक्षतिर्मित्रस्य तृतीयाऽपां चतुर्थी निर्ऋत्यै पञ्चम्यग्नीषोमयोः षष्ठी सर्पाणा सप्तमी विष्णोरष्टमी पूष्णो नवमी त्वष्टुर्दशमीन्द्रस्यैकादशी वरुणस्य द्वादशी यम्यै त्रयोदशी द्यावापृथिव्योर्दक्षिणं पार्श्वं विश्वेषां देवानामुत्तरम् ॥५ ॥
1417	25.6	25	6	1417	मरुता स्कन्धा विश्वेषां देवानां प्रथमा कीकसा रुद्राणां द्वितीयाऽऽदित्यानां तृतीया वायोः पुच्छमग्नीषोमयोर्भासदौ क्रुञ्चौ श्रोणिभ्यामिन्द्राबृहस्पतीऽऊरुभ्यां मित्रावरुणावल्गाभ्यामाक्रमण स्थूराभ्यां बलं कुष्ठाभ्याम् ॥६ ॥
1418	25.7	25	7	1418	पूषणं वनिष्ठुनान्धाहीन्त्स्स्थूलगुदया सर्पान् गुदाभिर्विह्रुतऽआन्त्रैरपो वस्तिना वृषणमाण्डाभ्यां वाजिनꣳ शेपेन प्रजा रेतसा चाषान् पित्तेन प्रदरान् पायुना कूश्माञ्छकपिण्डैः ॥७ ॥
1419	25.8	25	8	1419	इन्द्रस्य क्रोडोऽदित्यै पाजस्यं दिशां जत्रवोऽदित्यै भसज्जीमूतान् हृदयौपशेनान्तरिक्षं पुरीतता नभऽउदर्येण चक्रवाकौ मतस्नाभ्यां दिवं वृक्काभ्यां गिरीन् प्लाशिभिरुपलान् प्लीह्ना वल्मीकान् क्लोमभिर्ग्लौभिर्गुल्मान् हिराभिः स्रवन्तीर्ह्रदान् कुक्षिभ्या समुद्रमुदरेण वैश्वानरं भस्मना ॥८ ॥
1420	25.9	25	9	1420	विधृतिं नाभ्या घृतꣳरसेनापो यूष्णा मरीचीर्विप्रुड्भिर्नीहारमूष्मणा शीनं वसया प्रुष्वाऽ अश्रुभिर्ह्रादुनीर्दूषीकाभिरस्ना रक्षासि चित्राण्यङ्गैर्नक्षत्राणि रूपेण पृथिवीं त्वचा जुम्बकाय स्वाहा ॥९ ॥
1421	25.10	25	10	1421	हिरण्यगर्भः समवर्त्तताग्रे भूतस्य जातः पतिरेकऽआसीत्। स दाधार पृथिवीं द्यामुतेमां कस्मै देवाय हविषा विधेम ॥१० ॥
1422	25.11	25	11	1422	यः प्राणतो निमिषतो महित्वैकऽइद्राजा जगतो बभूव। य ईशेऽअस्य द्विपदश्चतुष्पदः कस्मै देवाय हविषा विधेम ॥११ ॥
1423	25.12	25	12	1423	यस्येमे हिमवन्तो महित्वा यस्य समुद्रꣳ रसया सहाहुः। यस्येमाः प्रदिशो यस्य बाहू कस्मै देवाय हविषा विधेम ॥ ॥१२ ॥
1424	25.13	25	13	1424	यऽआत्मदा बलदा यस्य विश्वऽउपासते प्रशिषं यस्य देवाः। यस्य छायाऽमृतं यस्य मृत्युः कस्मै देवाय हविषा विधेम ॥१३ ॥
1425	25.14	25	14	1425	आ नो भद्राः क्रतवो यन्तु विश्वतोऽदब्धासोऽअपरीतासऽउद्भिदः। देवा नो यथा सदमिद् वृधेऽअसन्नप्रायुवो रक्षितारो दिवेदिवे ॥१४ ॥
1426	25.15	25	15	1426	देवानां भद्रा सुमतिर्ऋजूयतां देवाना रातिरभि नो निवर्त्तताम्। देवाना सख्यमुपसेदिमा वयं देवा नऽआयुः प्रतिरन्तु जीवसे ॥१५ ॥
1427	25.16	25	16	1427	तान् पूर्वया निविदा हूमहे वयं भगं मित्रमदितिं दक्षमस्रिधम्। अर्यमणं वरुणꣳ सोममश्विना सरस्वती नः सुभगा मयस्करत्॥१६ ॥
1428	25.17	25	17	1428	तन्नो वातो मयोभु वातु भेषजं तन्माता पृथिवी तत्पिता द्यौः। तद्ग्रावाणः सोमसुतो मयोभुवस्तदश्विना शृणुतं धिष्ण्या युवम् ॥१७ ॥
1429	25.18	25	18	1429	तमीशानं जगतस्तस्थुषस्पतिं धियञ्जिन्वमवसे हूमहे वयम्। पूषा नो यथा वेदसामसद् वृधे रक्षिता पायुरदब्धः स्वस्तये ॥१८ ॥
1430	25.19	25	19	1430	स्वस्ति नऽइन्द्रो वृद्धश्रवाः स्वस्ति नः पूषा विश्ववेदाः। स्वस्ति नस्तार्क्ष्योऽअरिष्टनेमिः स्वस्ति नो बृहस्पतिर्दधातु ॥१९ ॥
1431	25.20	25	20	1431	पृषदश्वा मरुतः पृश्निमातरः शुभं यावानो विदथेषु जग्मयः। अग्निजिह्वा मनवः सूरचक्षसो विश्वे नो देवाऽअवसागमन्निह ॥२० ॥
1432	25.21	25	21	1432	भद्रं कर्णेभिः शृणुयाम देवा भद्रं पश्येमाक्षभिर्यजत्राः। स्थिरैरङ्गैस्तुष्टुवासस्तनूभिर्व्यशेमहि देवहितं यदायुः ॥२१ ॥
1433	25.22	25	22	1433	शतमिन्नु शरदोऽअन्ति देवा यत्रा नश्चक्रा जरसं तनूनाम्। पुत्रासो यत्र पितरो भवन्ति मा नो मध्या रीरिषतायुर्गन्तोः ॥२२ ॥
1434	25.23	25	23	1434	अदितिर्द्यौरदितिरन्तरिक्षमदितिर्माता स पिता स पुत्रः। विश्वे देवाऽअदितिः पञ्च जनाऽअदितिर्जातमदितिर्जनित्वम् ॥२३ ॥
1435	25.24	25	24	1435	मा नो मित्रो वरुणोऽअर्यमायुरिन्द्रऽऋभुक्षा मरुतः परिख्यन्। यद्वाजिनो देवजातस्य सप्तेः प्रवक्ष्यामो विदथे वीर्याणि ॥२४ ॥
1436	25.25	25	25	1436	यन्निर्णिजा रेक्णसा प्रावृतस्य रातिं गृभीतां मुखतो नयन्ति। सुप्राङजो मेम्यद्विश्वरूपऽइन्द्रापूष्णोः प्रियमप्येति पाथः ॥२५ ॥
1437	25.26	25	26	1437	एष छागः पुरोऽअश्वेन वाजिना पूष्णो भागो नीयते विश्वदेव्यः। अभिप्रियं यत्पुरोडाशमर्वता त्वष्टेदेनꣳ सौश्रवसाय जिन्वति ॥२६ ॥
1438	25.27	25	27	1438	यद्धविष्यमृतुशो देवयानं त्रिर्मानुषाः पर्यश्वं नयन्ति। अत्रा पूष्णः प्रथमो भागऽएति यज्ञं देवेभ्यः प्रतिवेदयन्नजः ॥२७ ॥
1439	25.28	25	28	1439	होताध्वर्युरावयाऽअग्निमिन्धो ग्रावग्राभऽउत शस्ता सुविप्रः। तेन यज्ञेन स्वरङ्कृतेन स्विष्टेन वक्षणाऽआ पृणध्वम् ॥२८ ॥
1440	25.29	25	29	1440	यूपव्रस्काऽउत ये यूपवाहाश्चषालं येऽअश्वयूपाय तक्षति। ये चार्वते पचनꣳ सम्भरन्त्युतो तेषामभिगूर्त्तिर्नऽइन्वतु ॥२९ ॥
1441	25.30	25	30	1441	उप प्रागात्सुमन्मेऽधायि मन्म देवानामाशाऽउप वीतपृष्ठः। अन्वेनं विप्राऽऋषयो मदन्ति देवानां पुष्टे चकृमा सुबन्धुम् ॥३० ॥
1442	25.31	25	31	1442	यद्वाजिनो दाम सन्दानमर्वतो या शीर्षण्या रशना रज्जुरस्य। यद्वा घास्य प्रभृतमास्ये तृणꣳ सर्वा ता तेऽअपि देवेष्वस्तु ॥३१ ॥
1443	25.32	25	32	1443	यदश्वस्य क्रविषो मक्षिकाश यद्वा स्वरौ स्वधितौ रिप्तमस्ति। यद्धस्तयोः शमितुर्यन्नखेषु सर्वा ता तेऽअपि देवेष्वस्तु ॥३२ ॥
1444	25.33	25	33	1444	यदूवध्यमुदरस्यापवाति यऽआमस्य क्रविषो गन्धोऽअस्ति। सुकृता तच्छमितारः कृण्वन्तूत मेधꣳ शृतपाकं पचन्तु ॥३३ ॥
1445	25.34	25	34	1445	यत्ते गात्रादग्निना पच्यमानादभि शूलं निहतस्यावधावति। मा तद्भूम्यामाश्रिषन्मा तृणेषु देवेभ्यस्तदुशद्भ्यो रातमस्तु ॥३४ ॥
1446	25.35	25	35	1446	ये वाजिनं परिपश्यन्ति पक्वं यऽईमाहुः सुरभिर्निर्हरेति। ये चार्वतो मासभिक्षामुपासतऽउतो तेषामभिगूर्त्तिर्नऽइन्वतु ॥३५ ॥
1447	25.36	25	36	1447	यन्नीक्षणं माँस्पचन्याऽउखाया या पात्राणि यूष्णऽआसेचनानि। ऊष्मण्याऽपिधाना चरूणामङ्काः सूनाः परि भूषन्त्यश्वम् ॥३६ ॥
1448	25.37	25	37	1448	मा त्वाग्निर्ध्वनयीद् धूमगन्धिर्मोखा भ्राजन्त्यभि विक्त जघ्रिः। इष्टं वीतमभिगूर्त्तं वषट्कृतं तं देवासः प्रति गृभ्णन्त्यश्वम् ॥३७ ॥
1449	25.38	25	38	1449	निक्रमणं निषदनं विवर्त्तनं यच्च पड्वीशमर्वतः। यच्च पपौ यच्च घासिं जघास सर्वा ता तेऽअपि देवेष्वस्तु ॥३८ ॥
1450	25.39	25	39	1450	यदश्वाय वासऽउपस्तृणन्त्यधीवासं या हिरण्यान्यस्मै। सन्दानमर्वन्तं पड्वीशं प्रिया देवेष्वा यामयन्ति ॥३९ ॥
1451	25.40	25	40	1451	यत्ते सादे महसा शूकृतस्य पार्ष्ण्या वा कशया वा तुतोद। स्रुचेव ता हविषोऽअध्वरेषु सर्वा ता ते ब्रह्मणा सूदयामि ॥४० ॥
1452	25.41	25	41	1452	चतुस्त्रिꣳशद्वाजिनो देवबन्धोर्वङ्क्रीरश्वस्य स्वधितिः समेति। अच्छिद्रा गात्रा वयुना कृणोतु परुष्परुरनुघुष्या वि शस्त ॥४१ ॥
1453	25.42	25	42	1453	एकस्त्वष्टुरश्वस्या विशस्ता द्वा यन्तारा भवतस्तथऽऋतुः। या ते गात्राणामृतुथा कृणोमि ताता पिण्डानां प्र जुहोम्यग्नौ ॥४२ ॥
1454	25.43	25	43	1454	मा त्वा तपत्प्रियऽआत्मापियन्तं मा स्वधितिस्तन्वऽआ तिष्ठिपत्ते। मा ते गृध्नुरविशस्तातिहाय छिद्रा गात्राण्यसिना मिथू कः ॥४३ ॥
1455	25.44	25	44	1455	न वाऽउऽएतान्म्रियसे न रिष्यसि देवाँ२ऽइदेषि पथिभिः सुगेभिः। हरी ते युञ्जा पृषतीऽअभूतामुपास्थाद् वाजी धुरि रासभस्य ॥४४ ॥
1456	25.45	25	45	1456	सुगव्यं नो वाजी स्वश्व्यं पुꣳसः पुत्राँ२ऽउत विश्वापुषꣳ रयिम्। अनागास्त्वं नोऽअदितिः कृणोतु क्षत्रं नोऽअश्वो वनता हविष्मान् ॥४५ ॥
1457	25.46	25	46	1457	इमा नु कं भुवना सीषधामेन्द्रश्च विश्वे च देवाः। आदित्यैरिन्द्रः सगणो मरुद्भिरस्मभ्यं भेषजा करत्। यज्ञं च नस्तन्वं च प्रजां चादित्यैरिन्द्रः सह सीषधाति ॥४६ ॥
1458	25.47	25	47	1458	अग्ने त्वं नोऽ अन्तमऽउत त्राता शिवो भवा वरूथ्यः। वसुरग्निर्वसुश्रवाऽअच्छा नक्षि द्युमत्तमꣳ रयिं दाः ॥४७ ॥ तं त्वा शोचिष्ठ दीदिवः सुम्नाय नूनमीमहे सखिभ्यः। स नो बोधि श्रुधी हवमुरुष्या णो अघायतः समस्मात्॥४८ ॥
1459	26.1	26	1	1459	अग्निश्च पृथिवी च सन्नते ते मे सं नमतामदो वायुश्चान्तरिक्षं च सन्नते ते मे सं नमतामदऽ आदित्यश्च द्यौश्च सन्नते ते मे सं नमतामदऽआपश्च वरुणश्च सन्नते ते मे सं नमतामदः। सप्त सꣳसदोऽ अष्टमी भूतसाधनी। सकामाँ२ ॥ऽअध्वनस्कुरु संज्ञानमस्तु मेऽमुना ॥१ ॥
1460	26.2	26	2	1460	यथेमां वाचं कल्याणीमावदानि जनेभ्यः। ब्रह्मराजन्याभ्या शूद्राय चार्याय च स्वाय चारणाय च। प्रियो देवानां दक्षिणायै दातुरिह भूयासमयं मे कामः समृध्यतामुप मादो नमतु ॥२ ॥
1461	26.3	26	3	1461	बृहस्पतेऽअति यदर्योऽअर्हाद् द्युमद्विभाति क्रतुमज्जनेषु। यद्दीदयच्छवसऽ ऋतप्रजात तदस्मासु द्रविणं धेहि चित्रम्। उपयामगृहीतोऽसि बृहस्पतये त्वैष ते योनिर्बृहस्पतये त्वा ॥३ ॥
